seq;timestamp_ms;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
84;830;-5.712459;-0.099767;8.217557;-0.013687;-0.020731;-0.015740
85;840;-5.655533;-0.206918;8.184071;0.008555;-0.038716;-0.007895
86;850;-5.618041;-0.152538;8.076631;0.017751;-0.033042;-0.015198
87;860;-5.590015;-0.113058;7.985364;0.030176;-0.010128;-0.017935
88;870;-5.672470;-0.090671;7.964311;0.038832;0.000521;-0.018817
89;880;-5.716907;-0.057529;7.971049;0.035972;0.001927;-0.014085
90;890;-5.660481;-0.022306;7.923603;0.032828;0.000327;-0.018681
91;900;-5.612560;-0.003449;7.892971;0.012769;0.008612;-0.013811
92;910;-5.588865;-0.039998;7.871140;0.001251;0.027597;-0.013723
93;920;-5.645747;-0.017544;7.934458;-0.005993;0.041335;-0.020321
94;930;-5.589365;-0.029166;8.021938;-0.025821;0.061283;0.004068
95;940;-5.680858;-0.142605;8.050653;-0.028740;0.066617;-0.006863
96;950;-5.704710;-0.242232;8.194665;-0.011504;0.044051;-0.003064
97;960;-5.757044;-0.317263;8.205830;0.016007;-0.002365;-0.003714
98;970;-5.645864;-0.297352;8.136331;0.042311;-0.044273;-0.007940
99;980;-5.615005;-0.255362;8.047051;0.060096;-0.065549;-0.011338
100;990;-5.581083;-0.155894;7.976144;0.063594;-0.065720;-0.019357
101;1000;-5.596604;-0.140491;7.875961;0.046923;-0.057567;-0.026420
102;1010;-5.587772;-0.015487;7.783216;0.028894;-0.042468;-0.029988
103;1020;-5.683212;-0.034084;7.756125;0.011381;-0.017422;-0.030600
104;1030;-5.726450;-0.004336;7.763700;-0.001257;-0.012789;-0.027831
105;1040;-5.739521;0.019889;7.816339;-0.009834;-0.014070;-0.026190
106;1050;-5.712579;0.046047;7.855579;-0.024228;-0.012488;-0.018996
107;1060;-5.675549;-0.003342;7.866461;-0.028504;-0.007241;-0.012315
108;1070;-5.707886;-0.067915;7.934914;-0.025092;-0.001856;-0.011723
109;1080;-5.667466;-0.067569;7.921776;-0.017176;-0.008077;-0.009237
110;1090;-5.700725;-0.113402;7.900897;-0.010088;-0.012331;-0.009660
111;1100;-5.620944;-0.101174;7.916453;-0.000804;-0.019231;-0.011480
112;1110;-5.616844;-0.117469;7.834234;0.010088;-0.008103;-0.012235
113;1120;-5.646870;-0.112334;7.789352;0.017181;0.000177;-0.014261
114;1130;-5.618107;-0.098906;7.744741;0.023441;0.004156;-0.018390
115;1140;-5.648058;-0.028346;7.758695;0.022994;0.003584;-0.020611
116;1150;-5.675393;0.025795;7.689357;0.017712;0.013994;-0.023068
117;1160;-5.682687;0.067464;7.723215;0.015573;0.019749;-0.020128
118;1170;-5.719635;0.096582;7.801047;0.017612;0.032084;-0.016039
119;1180;-5.740798;0.157030;7.844378;0.017843;0.031995;-0.008265
120;1190;-5.735900;0.099861;7.897385;0.035392;0.031287;0.002468
121;1200;-5.696653;0.089191;7.972097;0.055579;0.022244;0.014844
122;1210;-5.721958;0.114157;8.081430;0.067072;0.011956;0.024978
123;1220;-5.690806;0.108059;8.084555;0.057895;0.006280;0.032291
124;1230;-5.626755;0.006154;8.122315;0.048219;0.003185;0.035030
125;1240;-5.609951;-0.040295;8.118613;0.036123;0.002819;0.031381
126;1250;-5.568133;-0.123650;8.094213;0.039083;0.007628;0.029752
127;1260;-5.517189;-0.199574;8.010915;0.051209;0.018098;0.020825
128;1270;-5.497779;-0.131912;8.041190;0.051861;0.031856;0.015885
129;1280;-5.607185;-0.078809;7.996757;0.045044;0.039878;0.012278
130;1290;-5.659920;-0.085141;8.066679;0.021700;0.030932;0.008669
131;1300;-5.674707;-0.065905;8.075418;-0.005042;0.022866;0.003647
132;1310;-5.683001;-0.090200;8.049899;-0.013444;0.019125;-0.001823
133;1320;-5.692675;-0.106461;8.065987;-0.012843;0.016518;0.006642
134;1330;-5.762708;-0.121977;8.123132;-0.008454;0.004953;0.004688
135;1340;-5.733954;-0.109464;8.078413;-0.003351;0.003273;0.013458
136;1350;-5.674425;-0.183347;8.109861;0.001865;0.002278;0.012791
137;1360;-5.628449;-0.221619;8.061941;0.004168;-0.000409;0.015295
138;1370;-5.617131;-0.230444;8.093406;0.004439;-0.009173;0.012909
139;1380;-5.599645;-0.198988;8.059891;0.001966;-0.015829;0.005794
140;1390;-5.579475;-0.258900;8.016151;-0.003090;-0.023562;0.000189
141;1400;-5.544010;-0.280386;7.979910;-0.001446;-0.026756;-0.007308
142;1410;-5.522050;-0.201433;7.922809;0.001032;-0.013116;-0.014334
143;1420;-5.583464;-0.184915;7.874190;0.000160;-0.001744;-0.020414
144;1430;-5.666750;-0.174627;7.983725;-0.001706;0.001521;-0.020691
145;1440;-5.690112;-0.147989;7.962954;-0.008793;-0.006748;-0.018668
146;1450;-5.651102;-0.139460;7.991436;-0.016813;-0.006761;-0.024259
147;1460;-5.642598;-0.127512;7.974467;-0.030049;0.000483;-0.029992
148;1470;-5.724321;-0.128384;8.042499;-0.031752;0.000560;-0.024026
149;1480;-5.675066;-0.196503;8.043013;-0.022092;-0.008881;-0.025116
150;1490;-5.691526;-0.147477;8.046843;-0.009738;-0.004748;-0.025457
151;1500;-5.693083;-0.058889;8.058055;-0.004962;-0.012581;-0.027540
152;1510;-5.731862;-0.063340;8.072273;-0.002710;-0.018380;-0.026575
153;1520;-5.732304;-0.039786;8.025715;-0.008960;-0.041146;-0.020015
154;1530;-5.712579;-0.011376;7.993910;-0.018088;-0.042973;-0.024491
155;1540;-5.694809;0.033461;7.871981;-0.027323;-0.026698;-0.021972
156;1550;-5.723601;0.034560;7.827915;-0.033476;-0.011916;-0.016393
157;1560;-5.740456;0.082642;7.831697;-0.038534;0.004674;-0.011911
158;1570;-5.761053;0.155327;7.786723;-0.061223;0.008726;-0.007113
159;1580;-5.720223;0.143839;7.731423;-0.094512;0.010934;0.006951
160;1590;-5.726025;0.022351;7.694889;-0.110753;0.031406;0.013823
161;1600;-5.719062;0.086323;7.693225;-0.135322;0.054356;0.018362
162;1610;-5.583847;0.071860;7.753112;-0.168227;0.085289;0.033111
163;1620;-5.575041;0.062318;7.934050;-0.214422;0.126570;0.043842
164;1630;-5.510108;-0.027632;8.143545;-0.294497;0.167861;0.042325
165;1640;-5.512573;-0.099609;8.343295;-0.378595;0.199232;0.053880
166;1650;-5.718727;-0.397547;8.557926;-0.441351;0.176380;0.033543
167;1660;-5.677447;-0.552108;8.642411;-0.469594;0.110753;0.031374
168;1670;-5.705767;-0.735645;8.629940;-0.460321;0.058268;0.022512
169;1680;-5.627431;-0.773804;8.556617;-0.417260;0.031860;0.001876
170;1690;-5.639331;-0.699496;8.362387;-0.372977;0.028294;-0.007213
171;1700;-5.691544;-0.624043;8.181742;-0.339137;0.039265;-0.016334
172;1710;-5.652371;-0.410806;7.998725;-0.323990;0.067061;-0.019859
173;1720;-5.742131;-0.311793;7.855263;-0.332546;0.100717;-0.017241
174;1730;-5.802869;-0.164243;7.775888;-0.377040;0.139784;-0.008030
175;1740;-5.732616;-0.110460;7.672736;-0.426127;0.173337;0.024468
176;1750;-5.799950;-0.168338;7.533473;-0.479876;0.213118;0.046961
177;1760;-5.851045;-0.246166;7.494491;-0.522208;0.247903;0.046758
