seq;timestamp_ms;rot_xx;rot_xy;rot_xz;rot_yx;rot_yy;rot_yz;rot_zx;rot_zy;rot_zz
59;1160;0.028442;-0.805022;-0.592563;0.998056;0.055754;-0.027838;0.055448;-0.590619;0.805043
60;1180;0.028353;-0.804725;-0.59297;0.998045;0.055841;-0.02806;0.055693;-0.591015;0.804736
61;1200;0.028354;-0.804601;-0.593139;0.99805;0.055797;-0.027981;0.055609;-0.591189;0.804614
62;1220;0.02833;-0.804847;-0.592805;0.998093;0.055312;-0.027398;0.05484;-0.590899;0.80488
63;1240;0.028482;-0.804866;-0.592773;0.998146;0.054809;-0.026459;0.053785;-0.590921;0.804935
64;1260;0.028909;-0.804414;-0.593365;0.998187;0.054586;-0.025368;0.052796;-0.591556;0.804534
65;1280;0.029275;-0.803802;-0.594176;0.998236;0.054232;-0.024182;0.051661;-0.59242;0.803971
66;1300;0.029715;-0.802878;-0.595403;0.998258;0.054209;-0.023278;0.050966;-0.593674;0.80309
67;1320;0.030195;-0.802141;-0.596371;0.998258;0.054451;-0.022697;0.050679;-0.594647;0.802388
68;1340;0.030791;-0.801555;-0.597127;0.998241;0.054947;-0.022283;0.050671;-0.59539;0.801837
69;1360;0.031348;-0.801155;-0.597635;0.99822;0.055441;-0.021962;0.050729;-0.595883;0.801467
70;1380;0.03173;-0.801126;-0.597654;0.998198;0.055869;-0.021894;0.05093;-0.595883;0.801455
71;1400;0.031676;-0.80111;-0.597679;0.998196;0.055868;-0.02198;0.050999;-0.595904;0.801434
72;1420;0.031538;-0.801123;-0.597668;0.99819;0.055879;-0.022228;0.051204;-0.595885;0.801436
73;1440;0.031044;-0.801192;-0.597602;0.998188;0.05569;-0.022809;0.051555;-0.595811;0.801469
74;1460;0.030186;-0.801286;-0.59752;0.998193;0.055241;-0.023652;0.05196;-0.595726;0.801505
75;1480;0.029309;-0.801645;-0.597082;0.998192;0.054829;-0.024616;0.052471;-0.595281;0.801803
76;1500;0.028487;-0.802067;-0.596555;0.998185;0.054505;-0.025617;0.053061;-0.594742;0.802163
77;1520;0.027842;-0.803144;-0.595134;0.998153;0.054495;-0.026845;0.053992;-0.593288;0.803178
78;1540;0.027279;-0.803686;-0.594428;0.998103;0.054736;-0.028201;0.055201;-0.592531;0.803654
79;1560;0.027164;-0.804;-0.594009;0.998017;0.055563;-0.029566;0.056776;-0.592028;0.803915
80;1580;0.027348;-0.803829;-0.594231;0.997887;0.056998;-0.031177;0.05893;-0.592123;0.80369
81;1600;0.028168;-0.802503;-0.595982;0.997663;0.059699;-0.033234;0.06225;-0.593653;0.802309
82;1620;0.030499;-0.800182;-0.598981;0.997166;0.065595;-0.036855;0.06878;-0.596159;0.799915
83;1640;0.0319;-0.797913;-0.601928;0.996467;0.072205;-0.042905;0.077697;-0.598432;0.797397
84;1660;0.032532;-0.797224;-0.602806;0.995619;0.078747;-0.050414;0.08766;-0.598525;0.796293
85;1680;0.032921;-0.797056;-0.603008;0.994636;0.085321;-0.058474;0.098057;-0.597849;0.795589
86;1700;0.03272;-0.795956;-0.604469;0.993778;0.090331;-0.065152;0.106461;-0.598577;0.79396
87;1720;0.03229;-0.793957;-0.607116;0.99262;0.096512;-0.07342;0.116886;-0.600265;0.791214
88;1740;0.033353;-0.792244;-0.609292;0.991483;0.103017;-0.079675;0.125889;-0.601446;0.788933
89;1760;0.033357;-0.789277;-0.61313;0.990099;0.109788;-0.087464;0.136348;-0.604142;0.785125
90;1780;0.031389;-0.785873;-0.61759;0.988209;0.117046;-0.098713;0.149862;-0.60721;0.780281
91;1800;0.030766;-0.782765;-0.621557;0.985882;0.126163;-0.110086;0.164589;-0.609395;0.775596
92;1820;0.030365;-0.780253;-0.624727;0.983688;0.134195;-0.119791;0.177303;-0.610899;0.7716
93;1840;0.029903;-0.777788;-0.627814;0.982505;0.138381;-0.12464;0.183821;-0.613104;0.768319
94;1860;0.02877;-0.774624;-0.631767;0.981424;0.141823;-0.1292;0.189681;-0.616314;0.764315
95;1880;0.026626;-0.769335;-0.63829;0.980018;0.145996;-0.135089;0.197116;-0.621939;0.75785
96;1900;0.023368;-0.763351;-0.645561;0.978845;0.148762;-0.140473;0.203265;-0.628622;0.750678
97;1920;0.018127;-0.755615;-0.654765;0.976706;0.153426;-0.150017;0.213813;-0.636794;0.740795
98;1940;0.010934;-0.748784;-0.662724;0.973409;0.159627;-0.164296;0.228811;-0.643305;0.730619
99;1960;0.003515;-0.742217;-0.670151;0.970284;0.164673;-0.177291;0.241944;-0.649613;0.72074
100;1980;-0.001472;-0.735259;-0.677785;0.967715;0.169784;-0.186282;0.252042;-0.656177;0.711271
101;2000;-0.005518;-0.730418;-0.682979;0.966068;0.172477;-0.192262;0.25823;-0.660864;0.704681
102;2020;-0.009388;-0.726279;-0.687336;0.964351;0.175212;-0.198311;0.264459;-0.664695;0.698743
103;2040;-0.014241;-0.72339;-0.690293;0.962636;0.176791;-0.205126;0.270424;-0.667422;0.693844
104;2060;-0.017769;-0.720065;-0.693679;0.960826;0.179623;-0.211068;0.276583;-0.670255;0.688665
105;2080;-0.021076;-0.716622;-0.697144;0.958896;0.182871;-0.21697;0.282973;-0.673061;0.683312
106;2100;-0.026005;-0.71234;-0.701352;0.956933;0.185189;-0.223572;0.289142;-0.676961;0.676846
107;2120;-0.033239;-0.707114;-0.706318;0.956006;0.183594;-0.22879;0.291456;-0.682849;0.669903
108;2140;-0.040446;-0.702524;-0.710509;0.954686;0.182669;-0.234961;0.294854;-0.687817;0.663302
109;2160;-0.045948;-0.699173;-0.713475;0.952489;0.18461;-0.242249;0.301089;-0.690708;0.657471
110;2180;-0.052624;-0.694056;-0.717996;0.950047;0.1867;-0.250107;0.307638;-0.695291;0.649561
111;2200;-0.060718;-0.687112;-0.72401;0.94837;0.186506;-0.256535;0.3113;-0.702206;0.640312
112;2220;-0.067256;-0.680418;-0.729731;0.946653;0.187509;-0.262086;0.315159;-0.708429;0.631509
113;2240;-0.07211;-0.673941;-0.735258;0.945277;0.189004;-0.26595;0.318201;-0.7142;0.623432
114;2260;-0.076182;-0.665975;-0.742073;0.944524;0.190264;-0.267719;0.319484;-0.721302;0.614535
115;2280;-0.079522;-0.657092;-0.749604;0.945064;0.189488;-0.266361;0.317065;-0.729605;0.605926
116;2300;-0.079461;-0.646841;-0.758474;0.947317;0.187839;-0.259437;0.310285;-0.73913;0.597838
117;2320;-0.076012;-0.636367;-0.767632;0.949791;0.188129;-0.250009;0.303512;-0.748094;0.590116
118;2340;-0.069186;-0.624859;-0.777666;0.953428;0.187987;-0.235871;0.293577;-0.757768;0.582753
119;2360;-0.059968;-0.613059;-0.787758;0.957414;0.187959;-0.219158;0.282423;-0.767353;0.57568
120;2380;-0.043889;-0.599592;-0.799101;0.961483;0.191894;-0.196792;0.271338;-0.776959;0.568076
121;2400;-0.021074;-0.590566;-0.806714;0.966463;0.194529;-0.167655;0.25594;-0.783193;0.56666
122;2420;0.007421;-0.584437;-0.811405;0.972197;0.194134;-0.130938;0.234046;-0.787874;0.569629
123;2440;0.038679;-0.572347;-0.819099;0.976452;0.195753;-0.090673;0.212237;-0.796304;0.566442
124;2460;0.065742;-0.555412;-0.828972;0.980922;0.188289;-0.048361;0.182947;-0.809978;0.557195
125;2480;0.087471;-0.537648;-0.83862;0.983738;0.179188;-0.012272;0.156869;-0.823909;0.544579
126;2500;0.108168;-0.530248;-0.840914;0.98457;0.174179;0.016817;0.137552;-0.829759;0.540907
127;2520;0.122619;-0.529536;-0.839379;0.984052;0.174691;0.033546;0.128868;-0.830105;0.542511
128;2540;0.138388;-0.527544;-0.838181;0.983332;0.173967;0.05286;0.117929;-0.831525;0.542825
129;2560;0.153433;-0.522343;-0.838818;0.982565;0.170844;0.073339;0.104999;-0.835446;0.539449
130;2580;0.170592;-0.51828;-0.838024;0.98131;0.166217;0.096963;0.08904;-0.838903;0.536949
131;2600;0.186501;-0.519882;-0.833631;0.979668;0.16228;0.117969;0.073951;-0.838682;0.539577
132;2620;0.200224;-0.52419;-0.827729;0.977937;0.158294;0.136314;0.05957;-0.836761;0.544319
133;2640;0.214393;-0.530784;-0.819941;0.975798;0.153405;0.155839;0.043067;-0.833508;0.550827
134;2660;0.232049;-0.535461;-0.812056;0.972519;0.143988;0.182958;0.01896;-0.832196;0.554158
135;2680;0.248249;-0.538383;-0.805305;0.96864;0.128999;0.212358;-0.010446;-0.832769;0.553523
136;2700;0.258977;-0.540691;-0.800365;0.965088;0.111223;0.237139;-0.0392;-0.833836;0.550618
137;2720;0.266482;-0.542256;-0.796835;0.96214;0.100586;0.253315;-0.057211;-0.834171;0.548531
138;2740;0.273844;-0.545384;-0.79219;0.958912;0.091325;0.268604;-0.074145;-0.833196;0.547984
139;2760;0.284023;-0.548518;-0.786422;0.953764;0.077525;0.290387;-0.098315;-0.832537;0.545176
140;2780;0.292673;-0.555914;-0.778011;0.948359;0.064691;0.310531;-0.122299;-0.828719;0.54614
141;2800;0.299606;-0.561576;-0.771277;0.943411;0.053921;0.327212;-0.142166;-0.825666;0.545953
142;2820;0.302921;-0.569228;-0.764342;0.9398;0.045323;0.338705;-0.158158;-0.82093;0.54869
143;2840;0.305272;-0.576605;-0.757849;0.936495;0.037546;0.348666;-0.172588;-0.81616;0.551449
144;2860;0.30952;-0.585623;-0.749162;0.933103;0.035373;0.357864;-0.183073;-0.809812;0.557395
145;2880;0.311664;-0.59545;-0.740476;0.931064;0.035798;0.363094;-0.189697;-0.802594;0.56556
146;2900;0.311033;-0.603269;-0.734387;0.929999;0.033952;0.36599;-0.195856;-0.796815;0.5716
147;2920;0.309701;-0.612109;-0.727604;0.930036;0.035837;0.365717;-0.197783;-0.789961;0.580382
148;2940;0.302371;-0.624209;-0.720371;0.932061;0.03538;0.36057;-0.199585;-0.780456;0.592499
149;2960;0.288123;-0.647021;-0.705938;0.939233;0.047278;0.340009;-0.186618;-0.761005;0.621326
150;2980;0.266378;-0.673245;-0.689771;0.951106;0.067525;0.301394;-0.156335;-0.736329;0.658315
151;3000;0.246814;-0.690111;-0.680315;0.959859;0.077571;0.269543;-0.133242;-0.719534;0.681555
152;3020;0.230339;-0.700109;-0.675863;0.963916;0.068903;0.257135;-0.133453;-0.710703;0.690718
153;3040;0.211838;-0.710583;-0.670967;0.966454;0.050295;0.251865;-0.145225;-0.701813;0.697401
154;3060;0.193262;-0.725904;-0.660085;0.969024;0.035787;0.244358;-0.153758;-0.686864;0.710335
155;3080;0.174797;-0.743252;-0.645773;0.972473;0.027683;0.231366;-0.154086;-0.668439;0.727631
156;3100;0.159972;-0.760568;-0.629242;0.976158;0.027145;0.215357;-0.146713;-0.648691;0.746777
157;3120;0.145327;-0.772787;-0.617803;0.977519;0.015738;0.210257;-0.152761;-0.63447;0.757702
158;3140;0.130786;-0.783064;-0.608034;0.978011;0.001412;0.208548;-0.162448;-0.621939;0.76603
159;3160;0.115793;-0.794668;-0.595899;0.978577;-0.011549;0.205555;-0.17023;-0.606935;0.776307
160;3180;0.105724;-0.806407;-0.581834;0.980404;-0.013278;0.19655;-0.166225;-0.591212;0.7892
161;3200;0.095444;-0.817581;-0.567849;0.982411;-0.014609;0.186159;-0.160496;-0.575629;0.801806
162;3220;0.088138;-0.824235;-0.559347;0.983449;-0.017236;0.180364;-0.158304;-0.565986;0.809073
163;3240;0.079005;-0.829005;-0.553632;0.982975;-0.027634;0.181652;-0.165889;-0.558558;0.812708
164;3260;0.066415;-0.834411;-0.547126;0.982175;-0.041964;0.183225;-0.175844;-0.549542;0.816751
165;3280;0.055607;-0.841167;-0.537908;0.982797;-0.048918;0.178095;-0.176121;-0.538558;0.823976
166;3300;0.045262;-0.847208;-0.52933;0.983596;-0.054825;0.171854;-0.174617;-0.528425;0.830828
167;3320;0.029636;-0.854549;-0.518524;0.983529;-0.067606;0.16763;-0.178304;-0.514951;0.838471
168;3340;0.014912;-0.861419;-0.507676;0.98211;-0.082703;0.169178;-0.187719;-0.501116;0.844774
169;3360;-0.001068;-0.866134;-0.49981;0.98058;-0.098927;0.169338;-0.196114;-0.489923;0.84942
170;3380;-0.017168;-0.869202;-0.494159;0.979751;-0.11323;0.165128;-0.199483;-0.481318;0.853546
171;3400;-0.031931;-0.872146;-0.488203;0.97966;-0.124126;0.157668;-0.198108;-0.473239;0.85837
172;3420;-0.048574;-0.875065;-0.481563;0.978787;-0.137779;0.151636;-0.199041;-0.463981;0.863194
173;3440;-0.062792;-0.87589;-0.478408;0.977102;-0.151596;0.149302;-0.203297;-0.458079;0.865352
174;3460;-0.074053;-0.876989;-0.47477;0.977715;-0.157626;0.138664;-0.196443;-0.453921;0.869118
175;3480;-0.086726;-0.87783;-0.471055;0.978747;-0.163279;0.124078;-0.185833;-0.450283;0.873333
176;3500;-0.098175;-0.880336;-0.46408;0.980654;-0.164936;0.10542;-0.169348;-0.444753;0.879498
177;3520;-0.104897;-0.880654;-0.462001;0.982447;-0.163824;0.089212;-0.154252;-0.444534;0.882381
178;3540;-0.112886;-0.880613;-0.460193;0.983998;-0.16334;0.071187;-0.137856;-0.444793;0.88496
179;3560;-0.119951;-0.878593;-0.462261;0.985606;-0.161263;0.050752;-0.119136;-0.44952;0.88529
180;3580;-0.128297;-0.875026;-0.466766;0.98676;-0.159716;0.028189;-0.099216;-0.456969;0.883932
